month_year,num_injured(thousands),num_killed(tens),num_affected(thousands)
2012-07-01,0.702,0.3,0.705
2012-08-01,0.677,0.3,0.68
2012-09-01,0.674,0.7,0.681
2012-10-01,0.624,0.3,0.627
2012-11-01,0.588,0.2,0.59
2012-12-01,0.603,0.3,0.606
2013-01-01,0.555,0.5,0.56
2013-02-01,0.532,0.5,0.537
2013-03-01,0.576,0.2,0.578
2013-04-01,0.609,0.3,0.612
2013-05-01,0.656,0.0,0.656
2013-06-01,0.698,0.5,0.703
2013-07-01,0.697,0.4,0.701
2013-08-01,0.679,0.4,0.683
2013-09-01,0.717,0.1,0.718
2013-10-01,0.681,0.1,0.682
2013-11-01,0.635,0.7,0.642
2013-12-01,0.55,0.2,0.552
2014-01-01,0.571,0.5,0.576
2014-02-01,0.471,0.0,0.471
2014-03-01,0.497,0.2,0.499
2014-04-01,0.594,0.3,0.597
2014-05-01,0.605,0.3,0.608
2014-06-01,0.664,0.1,0.665
2014-07-01,0.642,0.4,0.646
2014-08-01,0.618,0.3,0.621
2014-09-01,0.513,0.6,0.519
2014-10-01,0.65,0.3,0.653
2014-11-01,0.533,0.3,0.536
2014-12-01,0.551,0.2,0.553
2015-01-01,0.41,0.4,0.414
2015-02-01,0.395,0.2,0.397
2015-03-01,0.51,0.1,0.511
2015-04-01,0.5,0.1,0.501
2015-05-01,0.595,0.6,0.601
2015-06-01,0.583,0.2,0.585
2015-07-01,0.597,0.0,0.597
2015-08-01,0.599,0.2,0.601
2015-09-01,0.553,0.0,0.553
2015-10-01,0.642,0.0,0.642
2015-11-01,0.535,0.3,0.538
2015-12-01,0.612,0.1,0.613
2016-01-01,0.487,0.3,0.49
2016-02-01,0.459,0.4,0.463
2016-03-01,0.316,0.2,0.318
2016-04-01,0.156,0.0,0.156
2016-05-01,0.54,0.0,0.54
2016-06-01,0.549,0.5,0.554
2016-07-01,0.525,0.1,0.526
2016-08-01,0.491,0.2,0.493
2016-09-01,0.451,0.3,0.454
2016-10-01,0.494,0.6,0.5
2016-11-01,0.473,0.1,0.474
2016-12-01,0.427,0.1,0.428
2017-01-01,0.407,0.1,0.408
2017-02-01,0.377,0.1,0.378
2017-03-01,0.421,0.0,0.421
2017-04-01,0.426,0.3,0.429
2017-05-01,0.543,0.4,0.547
2017-06-01,0.539,0.2,0.541
2017-07-01,0.494,0.5,0.499
2017-08-01,0.395,0.2,0.397
2017-09-01,0.495,0.3,0.498
2017-10-01,0.463,0.8,0.471
2017-11-01,0.435,0.1,0.436
2017-12-01,0.429,0.0,0.429
2018-01-01,0.413,0.0,0.413
2018-02-01,0.389,0.1,0.39
2018-03-01,0.447,0.0,0.447
2018-04-01,0.373,0.2,0.375
2018-05-01,0.444,0.1,0.445
2018-06-01,0.459,0.1,0.46
2018-07-01,0.467,0.2,0.469
2018-08-01,0.446,0.0,0.446
2018-09-01,0.471,0.1,0.472
2018-10-01,0.476,0.4,0.48
2018-11-01,0.405,0.3,0.408
2018-12-01,0.464,0.4,0.468
2019-01-01,0.374,0.2,0.376
2019-02-01,0.337,0.3,0.34
2019-03-01,0.397,0.1,0.398
2019-04-01,0.421,0.3,0.424
2019-05-01,0.475,0.2,0.477
2019-06-01,0.442,0.0,0.442
2019-07-01,0.472,0.4,0.476
2019-08-01,0.437,0.2,0.439
2019-09-01,0.468,0.0,0.468
2019-10-01,0.459,0.0,0.459
2019-11-01,0.368,0.1,0.369
2019-12-01,0.428,0.5,0.433
2020-01-01,0.296,0.1,0.297
2020-02-01,0.343,0.3,0.346
2020-03-01,0.241,0.0,0.241
2020-04-01,0.088,0.0,0.088
2020-05-01,0.209,0.2,0.211
2020-06-01,0.3,0.2,0.302
2020-07-01,0.351,0.0,0.351
2020-08-01,0.321,0.2,0.323
2020-09-01,0.382,0.4,0.386
2020-10-01,0.364,0.1,0.365
2020-11-01,0.312,0.2,0.314
2020-12-01,0.252,0.2,0.254
2021-01-01,0.203,0.1,0.204
2021-02-01,0.221,0.1,0.222
2021-03-01,0.27,0.2,0.272
2021-04-01,0.358,0.2,0.36
2021-05-01,0.422,0.0,0.422
2021-06-01,0.41,0.5,0.415
2021-07-01,0.411,0.2,0.413
2021-08-01,0.446,0.3,0.449
2021-09-01,0.441,0.2,0.443
2021-10-01,0.467,0.1,0.468
2021-11-01,0.449,0.1,0.45
2021-12-01,0.369,0.5,0.374
2022-01-01,0.27,0.4,0.274
2022-02-01,0.312,0.0,0.312
2022-03-01,0.383,0.1,0.384
2022-04-01,0.454,0.2,0.456
2022-05-01,0.487,0.2,0.489
2022-06-01,0.478,0.2,0.48
2022-07-01,0.477,0.2,0.479
2022-08-01,0.45,0.4,0.454
2022-09-01,0.459,0.1,0.46
2022-10-01,0.459,0.1,0.46
2022-11-01,0.344,0.1,0.345
2022-12-01,0.385,0.4,0.389
2023-01-01,0.335,0.1,0.336
2023-02-01,0.296,0.1,0.297
2023-03-01,0.403,0.2,0.405
2023-04-01,0.38,0.2,0.382
2023-05-01,0.537,0.0,0.537
2023-06-01,0.563,0.4,0.567
2023-07-01,0.53,0.3,0.533
2023-08-01,0.53,0.1,0.531
2023-09-01,0.488,0.4,0.492
2023-10-01,0.57,0.4,0.574
2023-11-01,0.434,0.3,0.437
2023-12-01,0.435,0.3,0.438
2024-01-01,0.337,0.0,0.337
2024-02-01,0.357,0.2,0.359
2024-03-01,0.025,0.0,0.025
