month_year,num_injured(thousands),num_killed(tens),num_affected(thousands)
2012-07-01,0.548,0.4,0.552
2012-08-01,0.466,0.6,0.472
2012-09-01,0.464,0.2,0.466
2012-10-01,0.462,0.3,0.465
2012-11-01,0.416,0.0,0.416
2012-12-01,0.522,0.2,0.524
2013-01-01,0.436,0.4,0.44
2013-02-01,0.468,0.1,0.469
2013-03-01,0.482,0.2,0.484
2013-04-01,0.504,0.0,0.504
2013-05-01,0.574,0.4,0.578
2013-06-01,0.574,0.4,0.578
2013-07-01,0.603,0.2,0.605
2013-08-01,0.5,0.2,0.502
2013-09-01,0.577,0.2,0.579
2013-10-01,0.528,0.4,0.532
2013-11-01,0.534,0.6,0.54
2013-12-01,0.479,0.1,0.48
2014-01-01,0.477,0.3,0.48
2014-02-01,0.329,0.1,0.33
2014-03-01,0.433,0.1,0.434
2014-04-01,0.424,0.2,0.426
2014-05-01,0.572,0.1,0.573
2014-06-01,0.642,0.1,0.643
2014-07-01,0.543,0.1,0.544
2014-08-01,0.48,0.1,0.481
2014-09-01,0.552,0.4,0.556
2014-10-01,0.506,0.2,0.508
2014-11-01,0.489,0.2,0.491
2014-12-01,0.439,0.0,0.439
2015-01-01,0.402,0.2,0.404
2015-02-01,0.25,0.0,0.25
2015-03-01,0.403,0.2,0.405
2015-04-01,0.456,0.3,0.459
2015-05-01,0.513,0.4,0.517
2015-06-01,0.534,0.4,0.538
2015-07-01,0.499,0.0,0.499
2015-08-01,0.544,0.1,0.545
2015-09-01,0.506,0.5,0.511
2015-10-01,0.539,0.3,0.542
2015-11-01,0.486,0.1,0.487
2015-12-01,0.494,0.1,0.495
2016-01-01,0.396,0.3,0.399
2016-02-01,0.415,0.1,0.416
2016-03-01,0.293,0.2,0.295
2016-04-01,0.19,0.0,0.19
2016-05-01,0.522,0.2,0.524
2016-06-01,0.525,0.1,0.526
2016-07-01,0.571,0.0,0.571
2016-08-01,0.518,0.2,0.52
2016-09-01,0.57,0.0,0.57
2016-10-01,0.435,0.2,0.437
2016-11-01,0.437,0.3,0.44
2016-12-01,0.458,0.2,0.46
2017-01-01,0.399,0.0,0.399
2017-02-01,0.418,0.0,0.418
2017-03-01,0.446,0.3,0.449
2017-04-01,0.458,0.4,0.462
2017-05-01,0.512,0.0,0.512
2017-06-01,0.573,0.2,0.575
2017-07-01,0.542,0.1,0.543
2017-08-01,0.48,0.2,0.482
2017-09-01,0.45,0.0,0.45
2017-10-01,0.469,0.3,0.472
2017-11-01,0.45,0.0,0.45
2017-12-01,0.411,0.0,0.411
2018-01-01,0.421,0.1,0.422
2018-02-01,0.402,0.1,0.403
2018-03-01,0.462,0.1,0.463
2018-04-01,0.467,0.2,0.469
2018-05-01,0.56,0.1,0.561
2018-06-01,0.537,0.2,0.539
2018-07-01,0.554,0.3,0.557
2018-08-01,0.568,0.3,0.571
2018-09-01,0.479,0.3,0.482
2018-10-01,0.534,0.0,0.534
2018-11-01,0.528,0.1,0.529
2018-12-01,0.546,0.2,0.548
2019-01-01,0.434,0.1,0.435
2019-02-01,0.379,0.1,0.38
2019-03-01,0.536,0.1,0.537
2019-04-01,0.455,0.0,0.455
2019-05-01,0.626,0.0,0.626
2019-06-01,0.644,0.1,0.645
2019-07-01,0.607,0.0,0.607
2019-08-01,0.534,0.2,0.536
2019-09-01,0.529,0.2,0.531
2019-10-01,0.51,0.1,0.511
2019-11-01,0.46,0.1,0.461
2019-12-01,0.531,0.0,0.531
2020-01-01,0.496,0.1,0.497
2020-02-01,0.428,0.1,0.429
2020-03-01,0.357,0.0,0.357
2020-04-01,0.141,0.0,0.141
2020-05-01,0.29,0.0,0.29
2020-06-01,0.417,0.5,0.422
2020-07-01,0.507,0.1,0.508
2020-08-01,0.54,0.5,0.545
2020-09-01,0.528,0.2,0.53
2020-10-01,0.475,0.3,0.478
2020-11-01,0.445,0.4,0.449
2020-12-01,0.354,0.0,0.354
2021-01-01,0.345,0.1,0.346
2021-02-01,0.237,0.0,0.237
2021-03-01,0.361,0.2,0.363
2021-04-01,0.441,0.1,0.442
2021-05-01,0.534,0.1,0.535
2021-06-01,0.521,0.2,0.523
2021-07-01,0.568,0.2,0.57
2021-08-01,0.551,0.2,0.553
2021-09-01,0.5,0.2,0.502
2021-10-01,0.528,0.2,0.53
2021-11-01,0.472,0.1,0.473
2021-12-01,0.481,0.4,0.485
2022-01-01,0.39,0.3,0.393
2022-02-01,0.332,0.0,0.332
2022-03-01,0.488,0.1,0.489
2022-04-01,0.46,0.1,0.461
2022-05-01,0.492,0.4,0.496
2022-06-01,0.525,0.4,0.529
2022-07-01,0.52,1.1,0.531
2022-08-01,0.484,0.2,0.486
2022-09-01,0.49,0.2,0.492
2022-10-01,0.523,0.1,0.524
2022-11-01,0.428,0.2,0.43
2022-12-01,0.501,0.1,0.502
2023-01-01,0.396,0.0,0.396
2023-02-01,0.341,0.2,0.343
2023-03-01,0.433,0.2,0.435
2023-04-01,0.493,0.3,0.496
2023-05-01,0.526,0.1,0.527
2023-06-01,0.451,0.2,0.453
2023-07-01,0.577,0.0,0.577
2023-08-01,0.501,0.4,0.505
2023-09-01,0.514,0.2,0.516
2023-10-01,0.512,0.3,0.515
2023-11-01,0.494,0.3,0.497
2023-12-01,0.431,0.1,0.432
2024-01-01,0.44,0.5,0.445
2024-02-01,0.38,0.3,0.383
2024-03-01,0.025,0.0,0.025
