month_year,num_injured(thousands),num_killed(tens),num_affected(thousands)
2012-07-01,0.906,0.8,0.914
2012-08-01,0.958,0.2,0.96
2012-09-01,0.914,0.4,0.918
2012-10-01,0.95,0.5,0.955
2012-11-01,0.859,0.3,0.862
2012-12-01,0.919,0.6,0.925
2013-01-01,0.82,0.9,0.829
2013-02-01,0.624,0.6,0.63
2013-03-01,0.866,0.3,0.869
2013-04-01,0.86,0.3,0.863
2013-05-01,1.017,0.5,1.022
2013-06-01,0.95,0.1,0.951
2013-07-01,0.967,0.8,0.975
2013-08-01,0.922,0.9,0.931
2013-09-01,0.978,1.1,0.989
2013-10-01,0.942,0.4,0.946
2013-11-01,0.877,0.6,0.883
2013-12-01,0.865,0.6,0.871
2014-01-01,0.748,0.1,0.749
2014-02-01,0.597,0.1,0.598
2014-03-01,0.75,0.4,0.754
2014-04-01,0.769,0.6,0.775
2014-05-01,0.898,0.5,0.903
2014-06-01,0.925,0.7,0.932
2014-07-01,0.903,0.9,0.912
2014-08-01,0.854,0.4,0.858
2014-09-01,0.809,0.4,0.813
2014-10-01,1.003,0.3,1.006
2014-11-01,0.915,0.5,0.92
2014-12-01,0.86,0.3,0.863
2015-01-01,0.72,0.5,0.725
2015-02-01,0.506,0.4,0.51
2015-03-01,0.777,0.1,0.778
2015-04-01,0.727,0.5,0.732
2015-05-01,0.984,0.4,0.988
2015-06-01,1.039,0.4,1.043
2015-07-01,0.967,0.7,0.974
2015-08-01,0.933,0.5,0.938
2015-09-01,0.92,0.0,0.92
2015-10-01,1.025,0.7,1.032
2015-11-01,0.888,0.4,0.892
2015-12-01,0.937,0.5,0.942
2016-01-01,0.746,0.1,0.747
2016-02-01,0.702,0.4,0.706
2016-03-01,0.552,0.1,0.553
2016-04-01,0.297,0.1,0.298
2016-05-01,0.926,0.4,0.93
2016-06-01,0.985,0.2,0.987
2016-07-01,0.982,0.3,0.985
2016-08-01,0.903,0.3,0.906
2016-09-01,0.935,0.4,0.939
2016-10-01,0.888,0.0,0.888
2016-11-01,0.955,0.2,0.957
2016-12-01,0.856,0.2,0.858
2017-01-01,0.761,0.3,0.764
2017-02-01,0.658,0.1,0.659
2017-03-01,0.751,0.4,0.755
2017-04-01,0.709,0.1,0.71
2017-05-01,0.937,0.2,0.939
2017-06-01,0.95,0.3,0.953
2017-07-01,0.88,0.3,0.883
2017-08-01,0.838,0.5,0.843
2017-09-01,0.823,0.5,0.828
2017-10-01,0.81,0.1,0.811
2017-11-01,0.826,0.3,0.829
2017-12-01,0.871,0.4,0.875
2018-01-01,0.734,0.4,0.738
2018-02-01,0.679,0.6,0.685
2018-03-01,0.841,0.3,0.844
2018-04-01,0.816,0.4,0.82
2018-05-01,0.931,0.4,0.935
2018-06-01,0.975,0.3,0.978
2018-07-01,0.945,0.5,0.95
2018-08-01,0.905,0.3,0.908
2018-09-01,0.89,0.5,0.895
2018-10-01,1.027,0.2,1.029
2018-11-01,0.945,0.9,0.954
2018-12-01,0.965,0.4,0.969
2019-01-01,0.817,0.5,0.822
2019-02-01,0.735,0.3,0.738
2019-03-01,0.821,0.3,0.824
2019-04-01,0.867,0.3,0.87
2019-05-01,0.985,0.2,0.987
2019-06-01,1.081,0.1,1.082
2019-07-01,0.947,0.3,0.95
2019-08-01,0.936,0.2,0.938
2019-09-01,0.871,0.7,0.878
2019-10-01,0.98,0.3,0.983
2019-11-01,0.868,0.5,0.873
2019-12-01,0.969,0.4,0.973
2020-01-01,0.811,0.2,0.813
2020-02-01,0.741,0.3,0.744
2020-03-01,0.556,0.2,0.558
2020-04-01,0.175,0.1,0.176
2020-05-01,0.344,0.3,0.347
2020-06-01,0.572,0.3,0.575
2020-07-01,0.652,0.3,0.655
2020-08-01,0.714,0.4,0.718
2020-09-01,0.736,1.1,0.747
2020-10-01,0.647,0.8,0.655
2020-11-01,0.585,0.4,0.589
2020-12-01,0.548,0.1,0.549
2021-01-01,0.492,0.3,0.495
2021-02-01,0.383,0.1,0.384
2021-03-01,0.533,0.4,0.537
2021-04-01,0.615,0.1,0.616
2021-05-01,0.814,0.7,0.821
2021-06-01,0.807,0.4,0.811
2021-07-01,0.775,0.4,0.779
2021-08-01,0.705,0.2,0.707
2021-09-01,0.805,0.0,0.805
2021-10-01,0.822,0.0,0.822
2021-11-01,0.776,0.2,0.778
2021-12-01,0.679,0.1,0.68
2022-01-01,0.488,0.2,0.49
2022-02-01,0.516,0.4,0.52
2022-03-01,0.665,0.2,0.667
2022-04-01,0.642,0.0,0.642
2022-05-01,0.676,0.1,0.677
2022-06-01,0.795,0.3,0.798
2022-07-01,0.759,0.3,0.762
2022-08-01,0.777,0.2,0.779
2022-09-01,0.788,0.4,0.792
2022-10-01,0.721,0.3,0.724
2022-11-01,0.728,0.6,0.734
2022-12-01,0.706,0.0,0.706
2023-01-01,0.646,0.3,0.649
2023-02-01,0.602,0.3,0.605
2023-03-01,0.703,0.1,0.704
2023-04-01,0.719,0.4,0.723
2023-05-01,0.822,0.2,0.824
2023-06-01,0.764,0.4,0.768
2023-07-01,0.853,0.6,0.859
2023-08-01,0.809,0.4,0.813
2023-09-01,0.831,0.1,0.832
2023-10-01,0.937,0.6,0.943
2023-11-01,0.824,0.4,0.828
2023-12-01,0.845,0.5,0.85
2024-01-01,0.719,0.0,0.719
2024-02-01,0.733,0.3,0.736
2024-03-01,0.065,0.0,0.065
