month_year,num_injured(thousands),num_killed(tens),num_affected(thousands)
2012-07-01,0.184,0.1,0.185
2012-08-01,0.22,0.3,0.223
2012-09-01,0.207,0.0,0.207
2012-10-01,0.225,0.2,0.227
2012-11-01,0.205,0.2,0.207
2012-12-01,0.204,0.3,0.207
2013-01-01,0.18,0.0,0.18
2013-02-01,0.157,0.1,0.158
2013-03-01,0.209,0.0,0.209
2013-04-01,0.221,0.0,0.221
2013-05-01,0.21,0.0,0.21
2013-06-01,0.246,0.0,0.246
2013-07-01,0.168,0.0,0.168
2013-08-01,0.145,0.1,0.146
2013-09-01,0.135,0.0,0.135
2013-10-01,0.156,0.0,0.156
2013-11-01,0.155,0.0,0.155
2013-12-01,0.129,0.2,0.131
2014-01-01,0.138,0.3,0.141
2014-02-01,0.115,0.0,0.115
2014-03-01,0.114,0.0,0.114
2014-04-01,0.116,0.1,0.117
2014-05-01,0.124,0.0,0.124
2014-06-01,0.142,0.2,0.144
2014-07-01,0.13,0.2,0.132
2014-08-01,0.145,0.0,0.145
2014-09-01,0.132,0.0,0.132
2014-10-01,0.158,0.0,0.158
2014-11-01,0.145,0.1,0.146
2014-12-01,0.118,0.1,0.119
2015-01-01,0.115,0.0,0.115
2015-02-01,0.132,0.0,0.132
2015-03-01,0.122,0.1,0.123
2015-04-01,0.112,0.1,0.113
2015-05-01,0.15,0.1,0.151
2015-06-01,0.123,0.0,0.123
2015-07-01,0.147,0.0,0.147
2015-08-01,0.137,0.2,0.139
2015-09-01,0.123,0.2,0.125
2015-10-01,0.131,0.3,0.134
2015-11-01,0.13,0.1,0.131
2015-12-01,0.125,0.1,0.126
2016-01-01,0.08,0.2,0.082
2016-02-01,0.101,0.1,0.102
2016-03-01,0.058,0.1,0.059
2016-04-01,0.015,0.0,0.015
2016-05-01,0.118,0.1,0.119
2016-06-01,0.141,0.0,0.141
2016-07-01,0.126,0.0,0.126
2016-08-01,0.114,0.1,0.115
2016-09-01,0.13,0.1,0.131
2016-10-01,0.125,0.1,0.126
2016-11-01,0.16,0.0,0.16
2016-12-01,0.109,0.0,0.109
2017-01-01,0.151,0.0,0.151
2017-02-01,0.106,0.1,0.107
2017-03-01,0.1,0.0,0.1
2017-04-01,0.125,0.2,0.127
2017-05-01,0.149,0.0,0.149
2017-06-01,0.128,0.2,0.13
2017-07-01,0.148,0.1,0.149
2017-08-01,0.089,0.0,0.089
2017-09-01,0.131,0.0,0.131
2017-10-01,0.13,0.1,0.131
2017-11-01,0.13,0.0,0.13
2017-12-01,0.127,0.1,0.128
2018-01-01,0.091,0.1,0.092
2018-02-01,0.08,0.1,0.081
2018-03-01,0.087,0.0,0.087
2018-04-01,0.123,0.1,0.124
2018-05-01,0.153,0.1,0.154
2018-06-01,0.13,0.1,0.131
2018-07-01,0.103,0.0,0.103
2018-08-01,0.11,0.0,0.11
2018-09-01,0.087,0.0,0.087
2018-10-01,0.112,0.0,0.112
2018-11-01,0.111,0.0,0.111
2018-12-01,0.139,0.2,0.141
2019-01-01,0.147,0.0,0.147
2019-02-01,0.098,0.1,0.099
2019-03-01,0.079,0.1,0.08
2019-04-01,0.086,0.1,0.087
2019-05-01,0.145,0.0,0.145
2019-06-01,0.174,0.0,0.174
2019-07-01,0.109,0.1,0.11
2019-08-01,0.105,0.0,0.105
2019-09-01,0.11,0.0,0.11
2019-10-01,0.098,0.0,0.098
2019-11-01,0.11,0.0,0.11
2019-12-01,0.108,0.0,0.108
2020-01-01,0.105,0.1,0.106
2020-02-01,0.093,0.1,0.094
2020-03-01,0.06,0.1,0.061
2020-04-01,0.038,0.1,0.039
2020-05-01,0.052,0.0,0.052
2020-06-01,0.089,0.1,0.09
2020-07-01,0.085,0.0,0.085
2020-08-01,0.093,0.1,0.094
2020-09-01,0.081,0.0,0.081
2020-10-01,0.083,0.1,0.084
2020-11-01,0.054,0.1,0.055
2020-12-01,0.082,0.0,0.082
2021-01-01,0.067,0.2,0.069
2021-02-01,0.037,0.0,0.037
2021-03-01,0.062,0.1,0.063
2021-04-01,0.076,0.0,0.076
2021-05-01,0.111,0.1,0.112
2021-06-01,0.108,0.0,0.108
2021-07-01,0.096,0.1,0.097
2021-08-01,0.088,0.0,0.088
2021-09-01,0.119,0.0,0.119
2021-10-01,0.088,0.0,0.088
2021-11-01,0.081,0.0,0.081
2021-12-01,0.119,0.1,0.12
2022-01-01,0.077,0.0,0.077
2022-02-01,0.074,0.0,0.074
2022-03-01,0.112,0.0,0.112
2022-04-01,0.08,0.0,0.08
2022-05-01,0.106,0.1,0.107
2022-06-01,0.101,0.0,0.101
2022-07-01,0.116,0.3,0.119
2022-08-01,0.124,0.0,0.124
2022-09-01,0.127,0.0,0.127
2022-10-01,0.077,0.2,0.079
2022-11-01,0.113,0.0,0.113
2022-12-01,0.08,0.2,0.082
2023-01-01,0.082,0.1,0.083
2023-02-01,0.062,0.0,0.062
2023-03-01,0.108,0.1,0.109
2023-04-01,0.101,0.1,0.102
2023-05-01,0.116,0.0,0.116
2023-06-01,0.119,0.0,0.119
2023-07-01,0.126,0.0,0.126
2023-08-01,0.106,0.1,0.107
2023-09-01,0.123,0.1,0.124
2023-10-01,0.113,0.0,0.113
2023-11-01,0.126,0.0,0.126
2023-12-01,0.161,0.0,0.161
2024-01-01,0.096,0.1,0.097
2024-02-01,0.099,0.1,0.1
2024-03-01,0.009,0.0,0.009
